Length (mm),Depth (mm),Length_to_Depth_Ratio,Max Principal Strain (Compensated),Equivalent Strain (Compensated)
414.4,100.2,4.135728543,4.09e-09,5.88e-09
408.2,100.2,4.073852295,3.86e-09,4.32e-09
422.5,100.3,4.212362911,4.29e-09,6.35e-09
413.4,55.4,7.462093863,1.3e-09,3.25e-09
430.1,118.0,3.644915254,3.48e-09,4.87e-09
413.3,100.0,4.133,4.57e-09,6.19e-09
380.2,93.05,4.085975282,2.63e-09,6.37e-09
441.9,108.6,4.069060773,2.51e-09,3.7e-09
371.3,142.4,2.60744382,2e-09,3.17e-09
379.7,96.7,3.926577042,1.73e-09,3.33e-09
